date;day;month;quarter;year;week_of_year;day_of_week;is_weekend
2018-01-01;1;1;1;2018;1;1;False
2018-01-02;2;1;1;2018;1;2;False
2018-01-03;3;1;1;2018;1;3;False
2018-01-04;4;1;1;2018;1;4;False
2018-01-05;5;1;1;2018;1;5;False
2018-01-06;6;1;1;2018;1;6;True
2018-01-07;7;1;1;2018;1;7;True
2018-01-08;8;1;1;2018;2;1;False
2018-01-09;9;1;1;2018;2;2;False
2018-01-10;10;1;1;2018;2;3;False
2018-01-11;11;1;1;2018;2;4;False
2018-01-12;12;1;1;2018;2;5;False
2018-01-13;13;1;1;2018;2;6;True
2018-01-14;14;1;1;2018;2;7;True
2018-01-15;15;1;1;2018;3;1;False
2018-01-16;16;1;1;2018;3;2;False
2018-01-17;17;1;1;2018;3;3;False
2018-01-18;18;1;1;2018;3;4;False
2018-01-19;19;1;1;2018;3;5;False
2018-01-20;20;1;1;2018;3;6;True
2018-01-21;21;1;1;2018;3;7;True
2018-01-22;22;1;1;2018;4;1;False
2018-01-23;23;1;1;2018;4;2;False
2018-01-24;24;1;1;2018;4;3;False
2018-01-25;25;1;1;2018;4;4;False
2018-01-26;26;1;1;2018;4;5;False
2018-01-27;27;1;1;2018;4;6;True
2018-01-28;28;1;1;2018;4;7;True
2018-01-29;29;1;1;2018;5;1;False
2018-01-30;30;1;1;2018;5;2;False
2018-01-31;31;1;1;2018;5;3;False
2018-02-01;1;2;1;2018;5;4;False
2018-02-02;2;2;1;2018;5;5;False
2018-02-03;3;2;1;2018;5;6;True
2018-02-04;4;2;1;2018;5;7;True
2018-02-05;5;2;1;2018;6;1;False
2018-02-06;6;2;1;2018;6;2;False
2018-02-07;7;2;1;2018;6;3;False
2018-02-08;8;2;1;2018;6;4;False
2018-02-09;9;2;1;2018;6;5;False
2018-02-10;10;2;1;2018;6;6;True
2018-02-11;11;2;1;2018;6;7;True
2018-02-12;12;2;1;2018;7;1;False
2018-02-13;13;2;1;2018;7;2;False
2018-02-14;14;2;1;2018;7;3;False
2018-02-15;15;2;1;2018;7;4;False
2018-02-16;16;2;1;2018;7;5;False
2018-02-17;17;2;1;2018;7;6;True
2018-02-18;18;2;1;2018;7;7;True
2018-02-19;19;2;1;2018;8;1;False
2018-02-20;20;2;1;2018;8;2;False
2018-02-21;21;2;1;2018;8;3;False
2018-02-22;22;2;1;2018;8;4;False
2018-02-23;23;2;1;2018;8;5;False
2018-02-24;24;2;1;2018;8;6;True
2018-02-25;25;2;1;2018;8;7;True
2018-02-26;26;2;1;2018;9;1;False
2018-02-27;27;2;1;2018;9;2;False
2018-02-28;28;2;1;2018;9;3;False
2018-03-01;1;3;1;2018;9;4;False
2018-03-02;2;3;1;2018;9;5;False
2018-03-03;3;3;1;2018;9;6;True
2018-03-04;4;3;1;2018;9;7;True
2018-03-05;5;3;1;2018;10;1;False
2018-03-06;6;3;1;2018;10;2;False
2018-03-07;7;3;1;2018;10;3;False
2018-03-08;8;3;1;2018;10;4;False
2018-03-09;9;3;1;2018;10;5;False
2018-03-10;10;3;1;2018;10;6;True
2018-03-11;11;3;1;2018;10;7;True
2018-03-12;12;3;1;2018;11;1;False
2018-03-13;13;3;1;2018;11;2;False
2018-03-14;14;3;1;2018;11;3;False
2018-03-15;15;3;1;2018;11;4;False
2018-03-16;16;3;1;2018;11;5;False
2018-03-17;17;3;1;2018;11;6;True
2018-03-18;18;3;1;2018;11;7;True
2018-03-19;19;3;1;2018;12;1;False
2018-03-20;20;3;1;2018;12;2;False
2018-03-21;21;3;1;2018;12;3;False
2018-03-22;22;3;1;2018;12;4;False
2018-03-23;23;3;1;2018;12;5;False
2018-03-24;24;3;1;2018;12;6;True
